Title,Price,Mileage,Location,Description,PublishedDate,Link,ImageURL,Brand,Model,Condition,Transmission,FuelType,EngineCapacity,Year
Rent a Car - Toyota Aqua,6500.0,,Kandy,"Kandy, Rentals",14 minutes,https://ikman.lk/en/ad/rent-a-car-toyota-aqua-for-sale-kandy-2,https://i.ikman-st.com/rent-a-car-toyota-aqua-for-sale-kandy-2/3206ce94-4164-4edb-916b-d1952ef67725/142/107/cropped.jpg,,,,,,,
Any Lorry for Hire with Labours - House Movers Service,88.0,,Colombo,"Colombo, Auto Services",15 minutes,https://ikman.lk/en/ad/any-lorry-for-hire-with-labours-house-movers-service-for-sale-colombo-108,https://i.ikman-st.com/any-lorry-for-hire-with-labours-house-movers-service-for-sale-colombo-108/811c1018-9929-4605-9541-4f3a6cd88ad2/142/107/cropped.jpg,,,,,,,
Jeep Compass Limited Edition 2019,16950000.0,"46,000 km",Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/jeep-compass-limited-edition-2019-for-sale-colombo-1,https://i.ikman-st.com/jeep-compass-limited-edition-2019-for-sale-colombo-1/459a3251-f2a4-44de-9a5a-f9c345a73c6b/142/107/cropped.jpg,,,,,,,2019.0
TVS Raider 125 2026,157000.0,0 km,Kalutara,"Kalutara, Motorbikes",11 days,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-153,https://i.ikman-st.com/tvs-raider-125-2026-for-sale-kalutara-153/6d67274d-9880-4b01-b18a-5ec4db175d02/142/107/cropped.jpg,,,,,,,2026.0
Toyota Aqua 2014,7600000.0,"93,000 km",Kalutara,"Kalutara, Cars",9 days,https://ikman.lk/en/ad/toyota-aqua-2014-for-sale-kalutara-220,https://i.ikman-st.com/toyota-aqua-2014-for-sale-kalutara-220/a8c02774-f6f6-4913-a8e7-6cb245e0a353/142/107/cropped.jpg,,,,,,,2014.0
Toyota Land Cruiser LC79 2025,42000000.0,"5,000 km",Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-land-cruiser-lc79-2025-for-sale-colombo,https://i.ikman-st.com/toyota-land-cruiser-lc79-2025-for-sale-colombo/a7dcd874-d686-440a-b7d2-bd7ce47454fc/142/107/cropped.jpg,,,,,,,2025.0
Rent Perodua Axia Wigo - free airport delivery for 30days rentals,4000.0,,Colombo,"Colombo, Rentals",3 days,https://ikman.lk/en/ad/rent-perodua-axia-wigo-free-airport-delivery-for-30days-rentals-for-sale-colombo,https://i.ikman-st.com/rent-perodua-axia-wigo-free-airport-delivery-for-30days-rentals-for-sale-colombo/6de01a6b-61f3-416a-995f-6c092097c5dc/142/107/cropped.jpg,,,,,,,
Wedding car Toyota axio hybrid,130.0,,Kandy,"Kandy, Rentals",10 days,https://ikman.lk/en/ad/wedding-car-toyota-axio-hybrid-for-sale-kandy-57,https://i.ikman-st.com/wedding-car-toyota-axio-hybrid-for-sale-kandy-57/eed60a99-820a-49af-baf3-f7949fb4066b/142/107/cropped.jpg,,,,,,,
TVS Ntorq 125 Brand New 2026,99700.0,0 km,Colombo,"Colombo, Motorbikes",bump_up,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-572,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-572/78968ee3-fe44-4e29-97c5-cf5232bbe961/142/107/cropped.jpg,,,,,,,2026.0
Toyota Yaris Cross Z Body Kit SUV 2025,17350000.0,0 km,Gampaha,"Gampaha, Cars",bump_up,https://ikman.lk/en/ad/toyota-yaris-cross-z-body-kit-suv-2025-for-sale-gampaha-1,https://i.ikman-st.com/toyota-yaris-cross-z-body-kit-suv-2025-for-sale-gampaha-1/3340fd07-a37e-4c61-8cc8-7b16abc031be/142/107/cropped.jpg,,,,,,,2025.0
