price,Mileage,Location,Year,Brand,Model,Brand_Encoded,Model_Encoded,Loc_Anuradhapura,Loc_Colombo,Loc_Galle,Loc_Gampaha,Loc_Jaffna,Loc_Kalutara,Loc_Kandy,Loc_Kegalle,Loc_Kurunegala,Loc_Other,Loc_Trincomalee,Price_Normalized,Mileage_Normalized
157500.0,0.0,4,2026,62,283,62,283,False,True,False,False,False,False,False,False,False,False,False,0.000223587069641,0.0
377350.0,0.0,11,2026,10,270,10,270,False,False,False,False,False,False,False,True,False,False,False,0.0005930980652116,0.0
300000.0,80000.0,7,2012,23,173,23,173,False,False,False,False,False,False,False,False,False,True,False,0.0004630927183506,0.0893285963585481
260000.0,80000.0,22,2011,10,270,10,270,False,False,False,False,False,False,False,False,False,True,False,0.0003958630625725,0.0893285963585481
2000000.0,250000.0,4,2019,39,228,39,228,False,True,False,False,False,False,False,False,False,False,False,0.003320353088922,0.2791518636204629
720000.0,0.0,8,2026,25,125,25,125,False,False,False,False,True,False,False,False,False,False,False,0.0011690041040212,0.0
12500000.0,57780.0,4,2012,45,158,45,158,False,True,False,False,False,False,False,False,False,False,False,0.0209681377306865,0.0645175787199613
16850000.0,21000.0,4,2017,8,10,8,10,False,True,False,False,False,False,False,False,False,False,False,0.0282793627965603,0.0234487565441188
96500.0,45000.0,4,2015,10,126,10,126,False,True,False,False,False,False,False,False,False,False,False,0.0001210618445793,0.0502473354516833
1100000.0,125000.0,7,2003,65,127,65,127,False,False,False,False,False,False,False,False,False,True,False,0.0018076858339136,0.1395759318102314
18450000.0,12000.0,4,2024,25,359,25,359,False,True,False,False,False,False,False,False,False,False,False,0.0309685490276863,0.0133992894537822
3590000.0,97000.0,0,2015,61,50,61,50,False,False,False,False,False,False,False,False,False,True,False,0.0059927319061035,0.1083109230847396
1450000.0,16900.0,10,2021,25,252,25,252,False,False,False,False,False,False,True,False,False,False,False,0.0023959453219724,0.0188706659807432
3950000.0,313000.0,6,2002,48,324,48,324,False,False,False,True,False,False,False,False,False,False,False,0.0065977988081068,0.3494981332528195
6990000.0,132000.0,20,2004,25,82,25,82,False,False,False,False,False,False,False,False,False,True,False,0.0117072526472463,0.1473921839916044
11000000.0,64500.0,4,2017,25,101,25,101,False,True,False,False,False,False,False,False,False,False,False,0.0184470256390058,0.0720211808140794
390000.0,55500.0,9,2014,10,263,10,263,False,False,False,False,False,True,False,False,False,False,False,0.0006143594438515,0.0619717137237427
495000.0,44000.0,10,2016,10,270,10,270,False,False,False,False,False,False,True,False,False,False,False,0.0007908372902691,0.0491307279972014
52500000.0,9000.0,4,2023,65,208,65,208,False,True,False,False,False,False,False,False,False,False,False,0.0881977935088367,0.0100494670903366
59500000.0,0.0,4,2024,65,49,65,49,False,True,False,False,False,False,False,False,False,False,False,0.099962983270013,0.0
36500000.0,35000.0,4,2017,8,29,8,29,False,True,False,False,False,False,False,False,False,False,False,0.0613059311975766,0.0390812609068648
660000.0,61000.0,3,2017,10,270,10,270,False,False,False,False,False,False,False,False,False,True,False,0.001068159620354,0.0681130547233929
1775000.0,212000.0,5,1980,45,123,45,123,False,False,True,False,False,False,False,False,False,False,False,0.0029421862751699,0.2367207803501525
3150000.0,65000.0,4,2016,70,392,70,392,False,True,False,False,False,False,False,False,False,False,False,0.0052532056925438,0.0725794845413203
590000.0,51700.0,4,2019,25,125,25,125,False,True,False,False,False,False,False,False,False,False,False,0.0009505077227422,0.0577286053967117
320000.0,25000.0,1,2014,69,288,69,288,True,False,False,False,False,False,False,False,False,False,False,0.0004967075462397,0.0279151863620462
6000000.0,195414.0,6,2003,27,138,27,138,False,False,False,True,False,False,False,False,False,False,False,0.010043318666737,0.2182007291101165
100000.0,120000.0,15,2005,10,73,10,73,False,False,False,False,False,False,False,False,False,True,False,0.0001269444394599,0.1339928945378222
11950000.0,0.0,4,2025,65,335,65,335,False,True,False,False,False,False,False,False,False,False,False,0.0200437299637369,0.0
15500000.0,0.0,10,2025,6,378,6,378,False,False,False,False,False,False,True,False,False,False,False,0.0260103619140477,0.0
6450000.0,48000.0,9,2024,39,198,39,198,False,False,False,False,False,True,False,False,False,False,False,0.0107996522942412,0.0535971578151288
240000.0,33330.0,6,2006,10,126,10,126,False,False,False,True,False,False,False,False,False,False,False,0.0003622482346834,0.0372165264578801
62750000.0,2000.0,9,2025,8,23,8,23,False,False,False,False,False,True,False,False,False,False,False,0.1054253928019878,0.0022332149089637
17750000.0,3500.0,6,2024,25,359,25,359,False,False,False,True,False,False,False,False,False,False,False,0.0297920300515687,0.0039081260906864
248000.0,69255.0,6,2000,25,103,25,103,False,False,False,True,False,False,False,False,False,False,False,0.000375694165839,0.0773306492601406
15600000.0,55000.0,4,2010,42,67,42,67,False,True,False,False,False,False,False,False,False,False,False,0.0261784360534931,0.0614134099965018
11700000.0,0.0,4,2026,33,309,33,309,False,True,False,False,False,False,False,False,False,False,False,0.0196235446151234,0.0
8750000.0,16500.0,13,2023,65,292,65,292,False,False,False,False,False,False,False,False,True,False,False,0.0146653575014849,0.0184240229989505
178000.0,66255.0,6,2012,25,125,25,125,False,False,False,True,False,False,False,False,False,False,False,0.0002580422682273,0.073980826896695
1375000.0,34522.0,6,1985,65,346,65,346,False,False,False,True,False,False,False,False,False,False,False,0.0022698897173884,0.0385475225436224
9375000.0,110000.0,9,2015,25,359,25,359,False,False,False,False,False,True,False,False,False,False,False,0.0157158208730185,0.1228268199930036
6700000.0,111350.0,4,2014,48,210,48,210,False,True,False,False,False,False,False,False,False,False,False,0.0112198376428547,0.1243342400565541
12500000.0,129000.0,4,2003,45,235,45,235,False,True,False,False,False,False,False,False,False,False,False,0.0209681377306865,0.1440423616281588
2300000.0,236000.0,4,2000,45,231,45,231,False,True,False,False,False,False,False,False,False,False,False,0.0038245755072581,0.2635193592577169
750000.0,37000.0,0,2019,10,270,10,270,False,False,False,False,False,False,False,False,False,True,False,0.0012194263458548,0.0413144758158285
375000.0,15000.0,11,2016,18,118,18,118,False,False,False,False,False,False,False,True,False,False,False,0.0005891483229346,0.0167491118172277
2200000.0,212000.0,5,1988,65,108,65,108,False,False,True,False,False,False,False,False,False,False,False,0.0036565013678128,0.2367207803501525
650000.0,59000.0,3,2018,10,270,10,270,False,False,False,False,False,False,False,False,False,True,False,0.0010513522064094,0.0658798398144292
2000000.0,300000.0,6,1987,48,324,48,324,False,False,False,True,False,False,False,False,False,False,False,0.003320353088922,0.3349822363445555
16900000.0,135000.0,6,2016,65,183,65,183,False,False,False,True,False,False,False,False,False,False,False,0.028363399866283,0.1507420063550499
570000.0,65000.0,2,2017,62,51,62,51,False,False,False,False,False,False,False,False,False,True,False,0.0009168928948531,0.0725794845413203
280000.0,100000.0,21,1999,25,325,25,325,False,False,False,False,False,False,False,False,False,True,False,0.0004294778904615,0.1116607454481851
6850000.0,173000.0,6,2009,25,192,25,192,False,False,False,True,False,False,False,False,False,False,False,0.0114719488520227,0.1931730896253603
258975.0,0.0,4,2025,10,84,10,84,False,True,False,False,False,False,False,False,False,False,False,0.0003941403026431,0.0
258975.0,0.0,4,2025,10,84,10,84,False,True,False,False,False,False,False,False,False,False,False,0.0003941403026431,0.0
4190000.0,200000.0,10,1998,48,355,48,355,False,False,False,False,False,False,True,False,False,False,False,0.0070011767427757,0.2233214908963703
34600000.0,0.0,4,2025,21,286,21,286,False,True,False,False,False,False,False,False,False,False,False,0.0581125225481145,0.0
8950000.0,196500.0,6,2015,25,168,25,168,False,False,False,True,False,False,False,False,False,False,False,0.0150015057803756,0.2194133648056838
21200000.0,0.0,4,2025,65,390,65,390,False,True,False,False,False,False,False,False,False,False,False,0.0355905878624341,0.0
7875000.0,0.0,4,2024,61,142,61,142,False,True,False,False,False,False,False,False,False,False,False,0.0131947087813378,0.0
6690000.0,71890.0,9,2017,16,236,16,236,False,False,False,False,False,True,False,False,False,False,False,0.0112030302289101,0.0802729099027003
295000.0,56230.0,13,2010,25,215,25,215,False,False,False,False,False,False,False,False,True,False,False,0.0004546890113783,0.0627868371655145
480000.0,1115.0,1,2018,69,287,69,287,True,False,False,False,False,False,False,False,False,False,False,0.0007656261693523,0.0012450173117472
240000.0,8437.0,4,2005,10,84,10,84,False,True,False,False,False,False,False,False,False,False,False,0.0003622482346834,0.0094208170934633
800000.0,300000.0,7,1998,25,64,25,64,False,False,False,False,False,False,False,False,False,True,False,0.0013034634155775,0.3349822363445555
12750000.0,99500.0,6,2017,65,81,65,81,False,False,False,True,False,False,False,False,False,False,False,0.0213883230792999,0.1111024417209442
2380000.0,17000.0,6,2024,32,115,32,115,False,False,False,True,False,False,False,False,False,False,False,0.0039590348188144,0.0189823267261914
14300000.0,0.0,4,2025,65,284,65,284,False,True,False,False,False,False,False,False,False,False,False,0.0239934722407032,0.0
275000.0,68000.0,6,2007,10,126,10,126,False,False,False,True,False,False,False,False,False,False,False,0.0004210741834893,0.0759293069047659
575000.0,38000.0,8,2020,25,125,25,125,False,False,False,False,True,False,False,False,False,False,False,0.0009252966018254,0.0424310832703103
200000.0,30000.0,21,2010,10,126,10,126,False,False,False,False,False,False,False,False,False,True,False,0.0002950185789052,0.0334982236344555
550000.0,68000.0,6,2017,25,125,25,125,False,False,False,True,False,False,False,False,False,False,False,0.0008832780669641,0.0759293069047659
9000000.0,170000.0,16,2012,65,269,65,269,False,False,False,False,False,False,False,False,False,True,False,0.0150855428500983,0.1898232672619147
55000.0,66900.0,9,2018,23,314,23,314,False,False,False,False,False,True,False,False,False,False,False,5.1311076709493e-05,0.0747010387048358
10250000.0,1500.0,4,2024,65,292,65,292,False,True,False,False,False,False,False,False,False,False,False,0.0171864695931655,0.0016749111817227
6700000.0,61000.0,13,2016,65,362,65,362,False,False,False,False,False,False,False,False,True,False,False,0.0112198376428547,0.0681130547233929
31950000.0,170.0,4,2025,65,197,65,197,False,True,False,False,False,False,False,False,False,False,False,0.053658557852812,0.0001898232672619
54700000.0,9000.0,4,2024,65,208,65,208,False,True,False,False,False,False,False,False,False,False,False,0.091895424576635,0.0100494670903366
